State,ID,2014AL,2013AL,2012AL,2011AL,2010AL,2009AL,2008AL,2007AL,2006AL,2005AL,2004AL,FT2004,SF2004,FT2005,SF2005,FT2006,SF2006,FT2007,SF2007,FT2008,SF2008,FT2009,SF2009,FT2010,SF2010,FT2011,SF2011,FT2012,SF2012,FT2013,SF2013,FT2014,SF2014
Alabama,1,38,36,34,35,36,38,38,40,37,37,35,1154,508,1131,493,1208,567,1110,497,966,447,848,327,862,316,894,298,865,272,852,253,820,237
Alaska,2,39,34,26,33,31,40,43,40,30,45,29,101,38,72,27,74,30,84,20,62,33,64,26,56,23,72,26,59,14,51,22,73,18
Arizona,4,32,31,33,32,30,33,35,38,38,37,34,1150,406,1177,460,1288,578,1066,447,937,373,807,283,762,245,825,294,825,297,849,290,770,254
Arkansas,5,35,32,31,35,35,36,34,35,37,32,35,704,104,648,104,665,96,650,64,600,63,585,105,563,108,549,86,552,76,483,72,466,55
California,6,34,34,33,32,34,36,35,35,35,36,35,4120,1333,4329,1471,4236,1403,3974,1464,3434,1141,3081,1087,2715,922,2791,890,2857,916,3000,961,3074,991
Colorado,8,38,35,36,39,32,38,37,36,39,39,35,665,255,606,204,535,182,554,224,548,210,465,171,448,162,447,183,472,162,481,150,488,168
Connecticut,9,46,50,43,45,43,51,39,44,41,43,43,291,98,274,92,301,92,277,94,264,83,223,103,319,124,220,73,236,39,276,64,248,69
Delaware,10,42,42,41,45,42,41,40,49,33,43,32,134,42,134,52,148,34,117,44,121,36,116,44,101,42,99,34,114,46,99,37,121,44
District of Columbia,11,26,37,24,50,35,41,38,42,39,50,41,43,20,48,17,37,3,44,8,34,12,29,10,24,8,27,10,15,6,20,9,23,12
Florida,12,32,33,34,35,31,36,35,35,33,37,32,3244,550,3543,239,3374,714,3214,611,2978,553,2558,535,2445,453,2398,296,2424,361,2407,344,2494,245
Georgia,13,28,30,30,26,28,31,32,32,32,30,29,1634,335,1729,340,1693,407,1641,384,1493,309,1284,238,1244,217,1223,220,1192,180,1179,197,1164,213
Hawaii,15,37,45,46,50,42,53,46,47,47,48,38,142,67,140,69,161,77,138,69,107,50,109,59,113,50,100,45,126,67,102,44,95,34
